state,Female_Victims,Male_Victims,Asian_Victims,Black_Victims,Hispanic_Victims,NativeAmerican_Victims,Other_Victims,White_Victims,Total_Shooting_Victims,Male_Population,Female_Population,Asian_Population,Black_Population,Hispanic_Population,NativeAmerican_Population,Other_Population,White_Population,Total_Population
AK,0.045454545454545456,0.9545454545454546,0.045454545454545456,0.06818181818181818,0.0,0.20454545454545456,0.06818181818181818,0.6136363636363636,44.0,0.507,0.493,0.06397653735953314,0.041162758485999505,0.07183462392506869,0.1560410154187543,0.01341260099109164,0.6535724638195527,698338.451
AL,0.0782608695652174,0.9217391304347826,0.0,0.28695652173913044,0.017391304347826087,0.0,0.0782608695652174,0.6173913043478261,115.0,0.481,0.519,0.013444778261959866,0.2690428999012164,0.041807413033132915,0.006917829017838463,0.0011392343799682735,0.6676478454058842,4806743.982
AR,0.011111111111111112,0.9888888888888889,0.011111111111111112,0.28888888888888886,0.0,0.0,0.1,0.6,90.0,0.484,0.516,0.014988391371420919,0.15820123721449955,0.07131293447291838,0.009807940354466022,0.002989792261617021,0.742699704325078,2931570.234
AZ,0.06529209621993128,0.9347079037800687,0.0,0.07560137457044673,0.33676975945017185,0.044673539518900345,0.140893470790378,0.4020618556701031,291.0,0.493,0.507,0.03280186236486243,0.04681361309119213,0.30447818499538915,0.05322354213142621,0.002707471769911542,0.5599753256472185,6756605.998
CA,0.049783549783549784,0.9502164502164502,0.0367965367965368,0.1634199134199134,0.395021645021645,0.004329004329004329,0.12445887445887446,0.275974025974026,924.0,0.494,0.506,0.1436797678839853,0.06544596602020336,0.38544804918511383,0.01663166143733691,0.0051136736344874695,0.3836808818388732,38885524.422
CO,0.0410958904109589,0.958904109589041,0.0228310502283105,0.0867579908675799,0.2557077625570776,0.0228310502283105,0.1095890410958904,0.502283105022831,219.0,0.501,0.499,0.03145708991305512,0.04484628607727705,0.2130022235046823,0.015864699943115988,0.001838494710427225,0.6929912058514424,5331872.289
CT,0.0,1.0,0.0,0.20833333333333334,0.2916666666666667,0.0,0.041666666666666664,0.4583333333333333,24.0,0.487,0.513,0.04491809601696173,0.11453057987435296,0.1497122499038077,0.005095511347462397,0.0010704482324138075,0.6846731146250014,3615637.714
DC,0.1875,0.8125,0.0,0.875,0.0,0.0,0.0,0.125,16.0,0.475,0.525,0.04,0.49,0.10400000000000001,0.006,0.002,0.358,658893.0
DE,0.0625,0.9375,0.0,0.375,0.0625,0.0,0.1875,0.375,16.0,0.482,0.518,0.03790544975495217,0.2237627466841505,0.08977273112285154,0.0063966396307555155,0.0010066568881749475,0.6411557759191153,929426.909
FL,0.05515587529976019,0.9448441247002398,0.002398081534772182,0.31654676258992803,0.14148681055155876,0.0,0.09352517985611511,0.4460431654676259,417.0,0.485,0.515,0.02790988320252219,0.1677426864039784,0.2405345874307001,0.005018163879032256,0.0009959121577770736,0.5577987669259901,19904131.950999998
GA,0.07009345794392523,0.9205607476635514,0.014018691588785047,0.40186915887850466,0.056074766355140186,0.0,0.09813084112149532,0.4252336448598131,214.0,0.482,0.518,0.0385341166088133,0.3165628699084812,0.09300826127280576,0.005028639077217322,0.0012859599624018287,0.5455801531702806,10058040.202
HI,0.0625,0.9375,0.375,0.03125,0.03125,0.0,0.46875,0.09375,32.0,0.488,0.512,0.44917729083095437,0.029084797204958268,0.12126498631431959,0.0055151925584417845,0.11969469785968526,0.27526303523164075,1184592.547
IA,0.08108108108108109,0.918918918918919,0.0,0.21621621621621623,0.0,0.0,0.0,0.7837837837837838,37.0,0.495,0.505,0.02255094575735013,0.03462404647735735,0.056371833892694984,0.004895114471935337,0.0009434473479731202,0.880614612052689,3073049.075
ID,0.04081632653061224,0.9591836734693877,0.02040816326530612,0.02040816326530612,0.12244897959183673,0.02040816326530612,0.08163265306122448,0.7346938775510204,49.0,0.499,0.501,0.01421421704396365,0.008382124099171644,0.1213220083415396,0.01737991705874517,0.002023103957752158,0.8366786294988278,1617661.805
IL,0.03278688524590164,0.9672131147540983,0.0,0.5491803278688525,0.13114754098360656,0.0,0.04918032786885246,0.27049180327868855,122.0,0.487,0.513,0.05346520721915712,0.14739590541226794,0.16768188713956772,0.006006740121712657,0.000760316450296766,0.6246899436569978,12844952.909
